x_m,y_m
-556.7247,-440.0561
-557.7219,-442.8805
-558.6786,-445.7204
-559.5956,-448.5726
-560.4750,-451.4392
-561.3174,-454.3169
-562.1244,-457.2057
-562.8973,-460.1046
-563.6369,-463.0123
-564.3452,-465.9279
-565.0223,-468.8512
-565.6703,-471.7789
-566.2906,-474.7134
-566.8840,-477.6512
-567.4532,-480.5945
-568.0025,-483.5411
-568.5348,-486.4923
-569.0508,-489.4456
-569.5540,-492.4012
-570.0445,-495.3589
-570.5257,-498.3190
-570.9991,-501.2801
-571.4661,-504.2434
-571.9289,-507.2057
-572.3895,-510.1690
-572.8501,-513.1335
-573.3122,-516.0957
-573.7770,-519.0590
-574.2483,-522.0213
-574.7260,-524.9813
-575.2150,-527.9379
-575.7154,-530.8946
-576.2285,-533.8491
-576.7551,-536.8013
-577.2953,-539.7524
-577.8503,-542.6991
-578.4195,-545.6446
-579.0043,-548.5857
-579.6048,-551.5246
-580.2222,-554.4590
-580.8561,-557.3901
-581.5069,-560.3168
-582.1769,-563.2401
-582.8646,-566.1579
-583.5715,-569.0712
-584.2983,-571.9789
-585.0450,-574.8822
-585.8087,-577.7811
-586.5865,-580.6766
-587.3786,-583.5677
-588.1842,-586.4554
-589.0032,-589.3398
-589.8336,-592.2208
-590.6761,-595.0986
-591.5299,-597.9730
-592.3944,-600.8440
-593.2688,-603.7117
-594.1532,-606.5772
-595.0460,-609.4405
-595.9474,-612.2993
-596.8566,-615.1570
-597.7736,-618.0125
-598.6970,-620.8647
-599.6260,-623.7157
-600.5615,-626.5634
-601.5026,-629.4100
-602.4494,-632.2544
-603.4004,-635.0976
-604.3558,-637.9397
-605.3139,-640.7808
-606.2742,-643.6218
-607.2345,-646.4617
-608.1948,-649.3016
-609.1544,-652.1427
-610.1118,-654.9837
-611.0664,-657.8270
-612.0161,-660.6702
-612.9614,-663.5157
-613.9004,-666.3623
-614.8323,-669.2122
-615.7564,-672.0644
-616.6713,-674.9187
-617.5762,-677.7776
-618.4712,-680.6386
-619.3627,-683.5019
-620.2534,-686.3640
-621.1434,-689.2273
-622.0320,-692.0906
-622.9185,-694.9549
-623.8028,-697.8204
-624.6836,-700.6859
-625.5602,-703.5537
-626.4324,-706.4225
-627.3005,-709.2924
-628.1621,-712.1646
-629.0173,-715.0379
-629.8662,-717.9134
-630.7080,-720.7911
-631.5412,-723.6710
-632.3610,-726.5488
-633.1601,-729.4398
-633.9309,-732.3454
-634.6662,-735.2642
-635.3575,-738.1942
-635.9977,-741.1342
-636.5776,-744.0853
-637.0907,-747.0442
-637.5272,-750.0098
-637.8814,-752.9831
-638.1440,-755.9598
-638.3072,-758.9421
-638.3633,-761.9265
-638.3044,-764.9066
-638.1298,-767.8821
-637.8402,-770.8599
-637.4385,-773.8322
-636.9246,-776.7944
-636.3015,-779.7400
-635.5711,-782.6622
-634.7343,-785.5555
-633.7932,-788.4143
-632.7492,-791.2331
-631.6051,-794.0052
-630.3609,-796.7250
-629.0195,-799.3859
-627.5787,-801.9856
-626.0272,-804.5287
-624.3685,-807.0139
-622.6083,-809.4379
-620.7530,-811.7964
-618.8069,-814.0881
-616.7763,-816.3086
-614.6677,-818.4558
-612.4845,-820.5263
-610.2346,-822.5167
-607.9215,-824.4248
-605.5524,-826.2461
-603.1322,-827.9786
-600.6516,-829.6387
-598.1270,-831.2377
-595.5670,-832.7788
-592.9750,-834.2666
-590.3539,-835.7066
-587.7072,-837.1054
-585.0400,-838.4653
-582.3536,-839.7952
-579.6537,-841.0973
-576.9432,-842.3783
-574.2256,-843.6437
-571.5044,-844.8980
-568.7833,-846.1467
-566.0649,-847.3943
-563.3374,-848.6252
-560.5985,-849.8372
-557.8546,-851.0393
-555.1107,-852.2435
-552.3725,-853.4566
-549.6442,-854.6920
-546.9330,-855.9585
-544.2431,-857.2651
-541.5794,-858.6228
-538.9483,-860.0427
-536.3649,-861.5294
-533.8566,-863.1295
-531.4158,-864.8753
-529.0609,-866.7578
-526.8110,-868.7737
-524.6839,-870.9154
-522.6987,-873.1771
-520.8739,-875.5533
-519.2280,-878.0385
-517.7794,-880.6249
-516.5445,-883.3080
-515.5139,-886.1035
-514.6885,-888.9934
-514.0746,-891.9523
-513.6771,-894.9535
-513.5011,-897.9735
-513.5522,-900.9847
-513.8354,-903.9625
-514.3570,-906.8814
-515.1236,-909.7357
-516.1264,-912.5345
-517.3472,-915.2655
-518.7667,-917.9163
-520.3672,-920.4738
-522.1302,-922.9279
-524.0380,-925.2641
-526.0714,-927.4735
-528.2127,-929.5429
-530.4647,-931.4921
-532.8012,-933.3480
-535.2051,-935.1171
-537.6680,-936.8095
-540.1805,-938.4363
-542.7320,-940.0086
-545.3141,-941.5364
-547.9181,-943.0319
-550.5335,-944.5053
-553.1518,-945.9675
-555.7630,-947.4286
-558.3720,-948.8952
-560.9839,-950.3575
-563.5971,-951.8163
-566.2126,-953.2719
-568.8294,-954.7263
-571.4462,-956.1796
-574.0631,-957.6329
-576.6792,-959.0874
-579.2946,-960.5429
-581.9086,-962.0018
-584.5205,-963.4640
-587.1302,-964.9307
-589.7364,-966.4029
-592.3390,-967.8818
-594.9381,-969.3662
-597.5344,-970.8574
-600.1271,-972.3529
-602.7163,-973.8552
-605.3026,-975.3619
-607.8860,-976.8752
-610.4667,-978.3919
-613.0438,-979.9153
-615.6187,-981.4420
-618.1909,-982.9743
-620.7601,-984.5099
-623.3266,-986.0510
-625.8909,-987.5955
-628.4531,-989.1445
-631.0117,-990.6968
-633.5675,-992.2557
-636.1191,-993.8213
-638.6663,-995.3947
-641.2094,-996.9748
-643.7474,-998.5627
-646.2805,-1000.1583
-648.8086,-1001.7618
-651.3318,-1003.3741
-653.8485,-1004.9953
-656.3603,-1006.6254
-658.8657,-1008.2633
-661.3655,-1009.9112
-663.8581,-1011.5692
-666.3450,-1013.2371
-668.8242,-1014.9139
-671.2970,-1016.6018
-673.7619,-1018.2998
-676.2190,-1020.0089
-678.6691,-1021.7290
-681.1113,-1023.4615
-683.5458,-1025.2050
-685.9724,-1026.9596
-688.3912,-1028.7254
-690.8008,-1030.5023
-693.2026,-1032.2914
-695.5958,-1034.0917
-697.9806,-1035.9031
-700.3561,-1037.7267
-702.7224,-1039.5625
-705.0802,-1041.4083
-707.4287,-1043.2664
-709.7674,-1045.1367
-712.0960,-1047.0181
-714.4155,-1048.9106
-716.7257,-1050.8154
-719.0267,-1052.7302
-721.3199,-1054.6561
-723.6046,-1056.5920
-725.8807,-1058.5379
-728.1484,-1060.4949
-730.4068,-1062.4609
-732.6567,-1064.4390
-734.8967,-1066.4272
-737.1281,-1068.4265
-739.3496,-1070.4358
-741.5612,-1072.4551
-743.7628,-1074.4866
-745.9545,-1076.5281
-748.1363,-1078.5808
-750.3067,-1080.6446
-752.4671,-1082.7183
-754.6163,-1084.8032
-756.7547,-1086.9004
-758.8818,-1089.0075
-760.9976,-1091.1258
-763.1020,-1093.2563
-765.1950,-1095.3979
-767.2767,-1097.5517
-769.3463,-1099.7167
-771.4053,-1101.8928
-773.4522,-1104.0800
-775.4871,-1106.2794
-777.5113,-1108.4889
-779.5227,-1110.7094
-781.5228,-1112.9411
-783.5108,-1115.1828
-785.4867,-1117.4345
-787.4513,-1119.6973
-789.4031,-1121.9713
-791.3428,-1124.2541
-793.2705,-1126.5480
-795.1861,-1128.8509
-797.0889,-1131.1637
-798.9797,-1133.4866
-800.8584,-1135.8184
-802.7229,-1138.1624
-804.5739,-1140.5175
-806.4114,-1142.8826
-808.2362,-1145.2588
-810.0475,-1147.6451
-811.8460,-1150.0413
-813.6317,-1152.4476
-815.4054,-1154.8638
-817.1669,-1157.2879
-818.9165,-1159.7219
-820.6539,-1162.1638
-822.3800,-1164.6134
-824.0948,-1167.0719
-825.7982,-1169.5382
-827.4909,-1172.0123
-829.1723,-1174.4931
-830.8438,-1176.9805
-832.5046,-1179.4746
-834.1554,-1181.9754
-835.7964,-1184.4817
-837.4281,-1186.9947
-839.0520,-1189.5133
-840.6702,-1192.0352
-842.2820,-1194.5615
-843.8882,-1197.0912
-845.4894,-1199.6242
-847.0863,-1202.1606
-848.6790,-1204.6992
-850.2681,-1207.2400
-851.8544,-1209.7830
-853.4378,-1212.3272
-855.0199,-1214.8724
-856.5998,-1217.4188
-858.1790,-1219.9662
-859.7574,-1222.5137
-861.3359,-1225.0612
-862.9144,-1227.6087
-864.4943,-1230.1561
-866.0706,-1232.7047
-867.6406,-1235.2578
-869.2091,-1237.8119
-870.7812,-1240.3650
-872.3590,-1242.9147
-873.9474,-1245.4566
-875.5514,-1247.9885
-877.1739,-1250.5082
-878.8191,-1253.0112
-880.4920,-1255.4964
-882.1954,-1257.9593
-883.9321,-1260.3934
-885.7384,-1262.7629
-887.6611,-1265.0714
-889.6960,-1267.2986
-891.8401,-1269.4280
-894.0907,-1271.4384
-896.4428,-1273.3109
-898.8950,-1275.0266
-901.4430,-1276.5667
-904.0825,-1277.9121
-906.8108,-1279.0452
-909.6285,-1279.9781
-912.5257,-1280.7176
-915.4811,-1281.2636
-918.4748,-1281.6127
-921.4855,-1281.7639
-924.4934,-1281.7161
-927.4786,-1281.4659
-930.4205,-1281.0134
-933.2950,-1280.3529
-936.1042,-1279.4344
-938.8452,-1278.2480
-941.4940,-1276.8169
-944.0250,-1275.1623
-946.4125,-1273.3031
-948.6326,-1271.2627
-950.6597,-1269.0599
-952.4688,-1266.7181
-954.0757,-1264.2329
-955.5129,-1261.6187
-956.7784,-1258.8967
-957.8664,-1256.0857
-958.7735,-1253.2057
-959.4946,-1250.2735
-960.0269,-1247.3102
-960.3662,-1244.3335
-960.5081,-1241.3624
-960.4492,-1238.4001
-960.1923,-1235.4312
-959.7451,-1232.4679
-959.1156,-1229.5257
-958.3107,-1226.6168
-957.3384,-1223.7580
-956.2056,-1220.9614
-954.9210,-1218.2427
-953.4916,-1215.6152
-951.9244,-1213.0922
-950.2210,-1210.6403
-948.4240,-1208.2552
-946.5438,-1205.9334
-944.5899,-1203.6684
-942.5728,-1201.4534
-940.5011,-1199.2840
-938.3860,-1197.1524
-936.2369,-1195.0541
-934.0637,-1192.9815
-931.8755,-1190.9299
-929.6831,-1188.8917
-927.4793,-1186.8657
-925.2536,-1184.8631
-923.0101,-1182.8816
-920.7495,-1180.9179
-918.4755,-1178.9698
-916.1901,-1177.0339
-913.8962,-1175.1091
-911.5952,-1173.1910
-909.2914,-1171.2773
-906.9861,-1169.3648
-904.6816,-1167.4511
-902.3806,-1165.5341
-900.0860,-1163.6093
-897.7992,-1161.6767
-895.5202,-1159.7342
-893.2483,-1157.7838
-890.9835,-1155.8234
-888.7257,-1153.8564
-886.4751,-1151.8805
-884.2309,-1149.8968
-881.9938,-1147.9053
-879.7631,-1145.9071
-877.5387,-1143.9011
-875.3208,-1141.8885
-873.1085,-1139.8692
-870.9026,-1137.8443
-868.7024,-1135.8117
-866.5078,-1133.7746
-864.3190,-1131.7308
-862.1337,-1129.6815
-859.9533,-1127.6289
-857.7779,-1125.5706
-855.6054,-1123.5080
-853.4371,-1121.4420
-851.2731,-1119.3715
-849.1119,-1117.2977
-846.9543,-1115.2206
-844.7995,-1113.1402
-842.6476,-1111.0564
-840.4985,-1108.9704
-838.3522,-1106.8810
-836.2080,-1104.7905
-834.0653,-1102.6967
-831.9254,-1100.6007
-829.7870,-1098.5047
-827.6464,-1096.4098
-825.5043,-1094.3160
-823.3616,-1092.2233
-821.2182,-1090.1306
-819.0740,-1088.0390
-816.9313,-1085.9463
-814.7886,-1083.8525
-812.6480,-1081.7576
-810.5095,-1079.6616
-808.3725,-1077.5622
-806.2390,-1075.4595
-804.1090,-1073.3546
-801.9819,-1071.2453
-799.8598,-1069.1314
-797.7426,-1067.0132
-795.6304,-1064.8893
-793.5239,-1062.7611
-791.4280,-1060.6261
-789.3406,-1058.4779
-787.2646,-1056.3162
-785.2014,-1054.1390
-783.1538,-1051.9463
-781.1239,-1049.7368
-779.1146,-1047.5085
-777.1280,-1045.2601
-775.1656,-1042.9917
-773.2308,-1040.7011
-771.3258,-1038.3872
-769.4521,-1036.0509
-767.6124,-1033.6881
-765.8097,-1031.2996
-764.0452,-1028.8833
-762.3220,-1026.4381
-760.6427,-1023.9641
-759.0089,-1021.4599
-757.4276,-1018.9280
-755.8952,-1016.3594
-754.4126,-1013.7564
-752.9817,-1011.1222
-751.6027,-1008.4568
-750.2776,-1005.7626
-749.0064,-1003.0394
-747.7906,-1000.2918
-746.6309,-997.5197
-745.5287,-994.7242
-744.4853,-991.9088
-743.5016,-989.0733
-742.5782,-986.2212
-741.7159,-983.3523
-740.9174,-980.4690
-740.1814,-977.5724
-739.5128,-974.6636
-738.9152,-971.7358
-738.3893,-968.7902
-737.9337,-965.8302
-737.5476,-962.8569
-737.2296,-959.8724
-736.9783,-956.8790
-736.7931,-953.8790
-736.6731,-950.8745
-736.6171,-947.8689
-736.6235,-944.8622
-736.6909,-941.8588
-736.8201,-938.8588
-737.0081,-935.8654
-737.2544,-932.8821
-737.5582,-929.9087
-737.9173,-926.9354
-738.3233,-923.9653
-738.7697,-921.0020
-739.2509,-918.0442
-739.7605,-915.0887
-740.2936,-912.1375
-740.8436,-909.1898
-741.4057,-906.2431
