idx,dist_m,x_m,y_m,elev_m,lat_deg,lon_deg,edge1_lat_deg,edge1_lon_deg,edge2_lat_deg,edge2_lon_deg
1019,3060.0000,-797.5974,-347.1495,603.944,50.33234646,6.93632455,50.33238334,6.93642978,50.33239188,6.93645413
1020,3063.0000,-798.8452,-344.4343,603.807,50.33237239,6.93629939,50.33240709,6.93641058,50.33241389,6.93643237
1021,3066.0000,-799.9713,-341.6546,603.666,50.33239922,6.93627621,50.33243150,6.93639305,50.33243685,6.93641241
1022,3069.0000,-800.9749,-338.8181,603.525,50.33242686,6.93625507,50.33245649,6.93637723,50.33246063,6.93639429
1023,3072.0000,-801.8531,-335.9349,603.384,50.33245523,6.93623604,50.33248199,6.93636313,50.33248513,6.93637808
1024,3075.0000,-802.6053,-333.0140,603.237,50.33248425,6.93621912,50.33250791,6.93635079,50.33251025,6.93636385
1025,3078.0000,-803.2279,-330.0630,603.109,50.33251382,6.93620436,50.33253417,6.93634022,50.33253589,6.93635169
1026,3081.0000,-803.7202,-327.0909,602.961,50.33254388,6.93619191,50.33256070,6.93633147,50.33256194,6.93634173
1027,3084.0000,-804.0800,-324.1066,602.818,50.33257435,6.93618197,50.33258742,6.93632455,50.33258828,6.93633397
1028,3087.0000,-804.3060,-321.1201,602.679,50.33260515,6.93617476,50.33261425,6.93631949,50.33261481,6.93632839
1029,3090.0000,-804.3945,-318.1380,602.541,50.33263616,6.93617042,50.33264110,6.93631631,50.33264140,6.93632505
1030,3093.0000,-804.3470,-315.1649,602.402,50.33266726,6.93616876,50.33266791,6.93631506,50.33266795,6.93632385
1031,3096.0000,-804.1693,-312.1874,602.260,50.33269822,6.93616971,50.33269464,6.93631572,50.33269442,6.93632459
1032,3099.0000,-803.8676,-309.2132,602.113,50.33272888,6.93617323,50.33272141,6.93631821,50.33272093,6.93632743
1033,3102.0000,-803.4463,-306.2457,601.968,50.33275929,6.93617935,50.33274815,6.93632244,50.33274736,6.93633269
1034,3105.0000,-802.9089,-303.2893,601.832,50.33278935,6.93618808,50.33277483,6.93632835,50.33277359,6.93634037
1035,3108.0000,-802.2598,-300.3518,601.701,50.33281898,6.93619938,50.33280141,6.93633589,50.33279951,6.93635063
1036,3111.0000,-801.5024,-297.4366,601.575,50.33284809,6.93621308,50.33282782,6.93634500,50.33282500,6.93636334
1037,3114.0000,-800.6411,-294.5493,601.442,50.33287660,6.93622903,50.33285403,6.93635563,50.33285000,6.93637824
1038,3117.0000,-799.6801,-291.6942,601.314,50.33290447,6.93624708,50.33287999,6.93636772,50.33287443,6.93639514
1039,3120.0000,-798.6229,-288.8769,601.193,50.33293162,6.93626709,50.33290566,6.93638121,50.33289823,6.93641385
1040,3123.0000,-797.4746,-286.1041,601.076,50.33295800,6.93628898,50.33293099,6.93639605,50.33292136,6.93643419
1041,3126.0000,-796.2374,-283.3780,600.962,50.33298356,6.93631255,50.33295592,6.93641217,50.33294377,6.93645598
1042,3129.0000,-794.9147,-280.7042,600.849,50.33300836,6.93633737,50.33298043,6.93642954,50.33296547,6.93647889
1043,3132.0000,-793.5229,-278.0516,600.736,50.33303239,6.93636295,50.33300447,6.93644811,50.33298659,6.93650265
1044,3135.0000,-792.0827,-275.4235,600.612,50.33305545,6.93638855,50.33302832,6.93646765,50.33300775,6.93652767
1045,3138.0000,-790.5984,-272.8187,600.494,50.33307820,6.93641446,50.33305195,6.93648787,50.33302860,6.93655320
1046,3141.0000,-789.0713,-270.2385,600.366,50.33310071,6.93644050,50.33307537,6.93650871,50.33304924,6.93657903
1047,3144.0000,-787.5044,-267.6805,600.237,50.33312300,6.93646670,50.33309857,6.93653015,50.33306979,6.93660491
1048,3147.0000,-785.9011,-265.1437,600.088,50.33314507,6.93649308,50.33312157,6.93655215,50.33309026,6.93663086
1049,3150.0000,-784.2637,-262.6281,599.933,50.33316695,6.93651963,50.33314438,6.93657466,50.33311065,6.93665690
1050,3153.0000,-782.5950,-260.1314,599.773,50.33318862,6.93654639,50.33316700,6.93659765,50.33313098,6.93668305
1051,3156.0000,-780.8978,-257.6536,599.608,50.33321010,6.93657337,50.33318945,6.93662108,50.33315127,6.93670930
1052,3159.0000,-779.1742,-255.1937,599.436,50.33323141,6.93660050,50.33321173,6.93664491,50.33317153,6.93673565
1053,3162.0000,-777.4272,-252.7516,599.258,50.33325262,6.93662765,50.33323385,6.93666911,50.33319176,6.93676208
1054,3165.0000,-775.6602,-250.3251,599.077,50.33327374,6.93665478,50.33325581,6.93669364,50.33321199,6.93678858
1055,3168.0000,-773.8747,-247.9141,598.893,50.33329479,6.93668189,50.33327763,6.93671845,50.33323226,6.93681507
1056,3171.0000,-772.0742,-245.5177,598.708,50.33331578,6.93670897,50.33329931,6.93674352,50.33325257,6.93684153
1057,3174.0000,-770.2581,-243.1301,598.517,50.33333671,6.93673601,50.33332086,6.93676880,50.33327292,6.93686798
1058,3177.0000,-768.4270,-240.7537,598.327,50.33335762,6.93676307,50.33334233,6.93679430,50.33329332,6.93689440
1059,3180.0000,-766.5825,-238.3884,598.135,50.33337852,6.93679010,50.33336370,6.93682001,50.33331376,6.93692079
1060,3183.0000,-764.7258,-236.0320,597.940,50.33339942,6.93681706,50.33338497,6.93684591,50.33333424,6.93694715
1061,3186.0000,-762.8577,-233.6856,597.747,50.33342032,6.93684400,50.33340616,6.93687198,50.33335475,6.93697351
1062,3189.0000,-760.9789,-231.3459,597.555,50.33344120,6.93687096,50.33342726,6.93689821,50.33337527,6.93699992
1063,3192.0000,-759.0902,-229.0151,597.365,50.33346202,6.93689798,50.33344830,6.93692459,50.33339581,6.93702638
1064,3195.0000,-757.1930,-226.6898,597.177,50.33348278,6.93692510,50.33346926,6.93695111,50.33341636,6.93705289
1065,3198.0000,-755.2886,-224.3713,596.989,50.33350346,6.93695236,50.33349017,6.93697775,50.33343692,6.93707945
1066,3201.0000,-753.3764,-222.0594,596.803,50.33352402,6.93697981,50.33351102,6.93700449,50.33345751,6.93710605
1067,3204.0000,-751.4592,-219.7508,596.619,50.33354447,6.93700745,50.33353181,6.93703134,50.33347811,6.93713270
1068,3207.0000,-749.5363,-217.4478,596.436,50.33356482,6.93703525,50.33355257,6.93705826,50.33349873,6.93715938
